Symbol,Company,Sector,Founded
VMC,Vulcan Materials Company,Construction Materials,"Birmingham, Alabama"
WRB,W. R. Berkley Corporation,Property & Casualty Insurance,"Greenwich, Connecticut"
GWW,W. W. Grainger,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois"
WAB,Wabtec,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania"
WBA,Walgreens Boots Alliance,Drug Retail,"Deerfield, Illinois"
WMT,Walmart,Consumer Staples Merchandise Retail,"Bentonville, Arkansas"
DIS,Walt Disney Company (The),Movies & Entertainment,"Burbank, California"
WBD,Warner Bros. Discovery,Broadcasting,"New York City, New York"
WM,Waste Management,Environmental & Facilities Services,"Houston, Texas"
WAT,Waters Corporation,Life Sciences Tools & Services,"Milford, Massachusetts"
WEC,WEC Energy Group,Electric Utilities,"Milwaukee, Wisconsin"
WFC,Wells Fargo,Diversified Banks,"San Francisco, California"
WELL,Welltower,Health Care REITs,"Toledo, Ohio"
WST,West Pharmaceutical Services,Health Care Supplies,"Exton, Pennsylvania"
WDC,Western Digital,"Technology Hardware, Storage & Peripherals","San Jose, California"
WY,Weyerhaeuser,Timber REITs,"Seattle, Washington"
WSM,"Williams-Sonoma, Inc.",Homefurnishing Retail,"San Francisco, California"
WMB,Williams Companies,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
WTW,Willis Towers Watson,Insurance Brokers,"London, United Kingdom"
WDAY,"Workday, Inc.",Application Software,"Pleasanton, California"
WYNN,Wynn Resorts,Casinos & Gaming,"Paradise, Nevada"
XEL,Xcel Energy,Multi-Utilities,"Minneapolis, Minnesota"
XYL,Xylem Inc.,Industrial Machinery & Supplies & Components,"White Plains, New York"
YUM,Yum! Brands,Restaurants,"Louisville, Kentucky"
ZBRA,Zebra Technologies,Electronic Equipment & Instruments,"Lincolnshire, Illinois"
ZBH,Zimmer Biomet,Health Care Equipment,"Warsaw, Indiana"
